year,department,isic_section,sector_label,value
2022,beni,H,Transporte y almacenamiento,-0.6243843897093093
2022,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.7824141329004826
2022,beni,J,Comunicación e informaciones,0.11854464563556888
2022,beni,K,Actividades financieras y de seguros,-0.00902101041678402
2022,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1.5636280191441971
2022,beni,O,Administracion publica,-0.1827898757204281
2022,beni,P,Enseñanza,0.28629743205564945
2022,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.012775698831831845
2022,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-0.17369965902422746
2023,beni,,Impuestos netos de subvenciones a los productos,-0.07048220380626781
2023,beni,,PRODUCTO INTERNO BRUTO,4.594242776962048
2023,beni,,VALOR AGREGADO BRUTO,4.66472498076834
2023,beni,A,"Agricultura, ganaderia, silvicultura y pesca",2.0469738380712785
2023,beni,B,Actividad extractiva,0.6833441165441824
2023,beni,C,Industrias manufactureras,-0.3042333045698294
2023,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.125418559038834
2023,beni,F,Construcción,-0.892741671891233
2023,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,0.5420477504224592
2023,beni,H,Transporte y almacenamiento,-0.3622620920130777
2023,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,0.23584312177314803
2023,beni,J,Comunicación e informaciones,0.11448103088286037
2023,beni,K,Actividades financieras y de seguros,0.2243514268503123
2023,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1.2687184119880053
2023,beni,O,Administracion publica,-0.0525033994392273
2023,beni,P,Enseñanza,0.37224464308141186
2023,beni,Q,Actividades de atencion de la salud humana y de asistencia social,0.6542510135873324
2023,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.008791536441883494
2024,beni,,Impuestos netos de subvenciones a los productos,-0.11382534015083788
2024,beni,,PRODUCTO INTERNO BRUTO,2.115501769203675
