year,department,isic_section,sector_label,value
2022,beni,C,Industrias manufactureras,1469.3363979188568
2022,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",166.22072897193613
2022,beni,F,Construcción,1064.357628125917
2022,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,844.7433144455161
2022,beni,H,Transporte y almacenamiento,614.7909419192283
2022,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,629.2931400332279
2022,beni,J,Comunicación e informaciones,248.86487577592024
2022,beni,K,Actividades financieras y de seguros,272.10845447594994
2022,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1330.2222688149827
2022,beni,O,Administracion publica,332.1578425257842
2022,beni,P,Enseñanza,1087.2568711740591
2022,beni,Q,Actividades de atencion de la salud humana y de asistencia social,725.6505373325625
2022,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",410.76807839355513
2023,beni,,Impuestos netos de subvenciones a los productos,898.8241091796019
2023,beni,,PRODUCTO  INTERNO  BRUTO(1),12835.957540553834
2023,beni,,VALOR AGREGADO BRUTO,11926.180267144753
2023,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1981.1289434346081
2023,beni,B,Actividad extractiva,656.3578892884282
2023,beni,C,Industrias manufactureras,1434.7841137358048
2023,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",182.16697777411116
2023,beni,F,Construcción,928.193203028391
2023,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,913.8820920611284
2023,beni,H,Transporte y almacenamiento,569.3899888792403
2023,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,655.3122075451478
2023,beni,J,Comunicación e informaciones,270.0318909862129
2023,beni,K,Actividades financieras y de seguros,298.1506299903383
2023,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1494.5933915561282
2023,beni,O,Administracion publica,325.582645282868
2023,beni,P,Enseñanza,1129.9824485530178
2023,beni,Q,Actividades de atencion de la salud humana y de asistencia social,804.3018275170031
2023,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",411.817352140657
2024,beni,,Impuestos netos de subvenciones a los productos,883.1885681070165
2024,beni,,PRODUCTO  INTERNO  BRUTO(1),13107.502449418484
2024,beni,,VALOR AGREGADO BRUTO,12210.668953284108
2024,beni,A,"Agricultura, ganaderia, silvicultura y pesca",1914.5986861098445
2024,beni,B,Actividad extractiva,847.5159839537778
2024,beni,C,Industrias manufactureras,1468.4051640682164
2024,beni,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",183.39170106886075
2024,beni,F,Construcción,958.0908885067133
2024,beni,G,Comercio; reparacion de vehículos automotores y motocicletas,864.9075725314983
2024,beni,H,Transporte y almacenamiento,598.9592991607325
2024,beni,I,Actividades de alojamiento y de servicio de comidas y bebidas,670.7494156595864
2024,beni,J,Comunicación e informaciones,280.0466191344616
2024,beni,K,Actividades financieras y de seguros,302.37569593426986
2024,beni,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1413.3037947543687
2024,beni,O,Administracion publica,330.901600642368
2024,beni,P,Enseñanza,1145.1770661024075
2024,beni,Q,Actividades de atencion de la salud humana y de asistencia social,813.8209017177994
2024,beni,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",442.2765291327329
2017,chuquisaca,,Impuestos netos de subvenciones a los productos,1015.5111737005152
2017,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15203.652181343405
2017,chuquisaca,,VALOR AGREGADO BRUTO,14188.14100764289
2017,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1120.7073399262285
2017,chuquisaca,B,Actividad extractiva,2125.7714257164685
2017,chuquisaca,C,Industrias manufactureras,1240.1175713409937
2017,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",188.15987937833196
2017,chuquisaca,F,Construcción,1492.7023236066077
2017,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,690.1515544464252
2017,chuquisaca,H,Transporte y almacenamiento,844.9230883650453
2017,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,889.7699871220016
2017,chuquisaca,J,Comunicación e informaciones,344.04694478960675
2017,chuquisaca,K,Actividades financieras y de seguros,443.83494157650125
2017,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1644.7956903804688
2017,chuquisaca,O,Administracion publica,867.3457515615
2017,chuquisaca,P,Enseñanza,1090.6284489292727
2017,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,814.4935469380216
2017,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",390.6925135654156
2018,chuquisaca,,Impuestos netos de subvenciones a los productos,1050.1865435514792
2018,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15717.113066819311
2018,chuquisaca,,VALOR AGREGADO BRUTO,14666.926523267832
2018,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1213.4253645135077
2018,chuquisaca,B,Actividad extractiva,2216.230252734558
2018,chuquisaca,C,Industrias manufactureras,1295.7831473951992
2018,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",192.72176335082048
2018,chuquisaca,F,Construcción,1392.1737615764114
2018,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,764.8887876992587
2018,chuquisaca,H,Transporte y almacenamiento,884.3969402415152
2018,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,917.9527678776005
2018,chuquisaca,J,Comunicación e informaciones,341.9161011211166
2018,chuquisaca,K,Actividades financieras y de seguros,463.17802513723115
2018,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1756.7922907728002
2018,chuquisaca,O,Administracion publica,832.6635536957531
2018,chuquisaca,P,Enseñanza,1146.9682321725122
2018,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,878.9343004459458
2018,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",368.90123453360263
2019,chuquisaca,,Impuestos netos de subvenciones a los productos,1013.6432720110934
2019,chuquisaca,,PRODUCTO  INTERNO  BRUTO(1),15882.045306146256
2019,chuquisaca,,VALOR AGREGADO BRUTO,14866.488961805342
2019,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",1238.0328888018907
2019,chuquisaca,B,Actividad extractiva,2358.239742265647
2019,chuquisaca,C,Industrias manufactureras,1307.8550315949346
2019,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",189.22552873476153
2019,chuquisaca,F,Construcción,1372.5979103077466
2019,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,752.590240031839
2019,chuquisaca,H,Transporte y almacenamiento,896.5865635036956
2019,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,910.1466904999589
2019,chuquisaca,J,Comunicación e informaciones,321.4330305998854
2019,chuquisaca,K,Actividades financieras y de seguros,495.63488864790287
2019,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1764.227232778532
2019,chuquisaca,O,Administracion publica,873.5771248633793
2019,chuquisaca,P,Enseñanza,1093.2075284423693
2019,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,944.6252877672439
2019,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",320.9501951816211
