year,sector,gva,department
1990,5. Construcción,21600.24329750156,beni
1990,6. Comercio,59030.68374301037,beni
1990,"7. Transporte, Almacenamiento y Comunicaciones",35484.34691226082,beni
1990,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48306.40784519943,beni
1990,"9. Servicios Comunales, Sociales, Personales y Domésticos",19588.473782476474,beni
1990,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",15505.332153843387,beni
1990,PRODUCTO INTERNO BRUTO (a precios básicos),636961.9675579267,beni
1990,PRODUCTO INTERNO BRUTO (a precios de mercado),652467.29971177,beni
1990,Servicios Bancarios Imputados,-5216.771068442228,beni
1991,- Alimentos,85875.47041111004,beni
1991,- Bebidas y Tabaco,583.4408306187521,beni
1991,- Coca,0.0,beni
1991,- Comunicaciones,5567.698007317388,beni
1991,- Madera y Productos de Madera,3474.3427409201176,beni
1991,- Minerales Metálicos y no Metálicos,13627.392975476885,beni
1991,- Otras Industrias Manufactureras,3035.0826480118876,beni
1991,- Petróleo Crudo y Gas Natural,0.0,beni
1991,- Productos Agrícolas Industriales,3330.479800201292,beni
1991,- Productos Agrícolas no Industriales,39486.72323822352,beni
1991,- Productos Pecuarios,171093.9413148587,beni
1991,- Productos de Minerales no Metálicos,4736.982248192286,beni
1991,- Productos de Refinación del Petróleo,0.0,beni
1991,- Propiedad de Vivienda,35627.82644366992,beni
1991,- Servicios Financieros,4802.546983011065,beni
1991,- Servicios a las Empresas,8158.666471803063,beni
1991,"- Silvicultura, Caza y Pesca",34999.72121414579,beni
1991,"- Textiles, Prendas de Vestir y Productos del Cuero",8388.401333375852,beni
1991,- Transporte y Almacenamiento,32168.59027525546,beni
1991,"1. Agricultura, Silvicultura, Caza y Pesca",248910.8655674293,beni
1991,10. Restaurantes y Hoteles,23710.969710737365,beni
1991,11. Servicios de la Administración Pública,55858.972219999996,beni
1991,2. Extracción de Minas y Canteras,13627.392975476885,beni
1991,3. Industrias Manufactureras,106093.72021222893,beni
1991,"4. Electricidad, Gas y Agua",3768.0547293684576,beni
1991,5. Construcción,21936.903162044575,beni
1991,6. Comercio,53707.714945186526,beni
1991,"7. Transporte, Almacenamiento y Comunicaciones",37736.28828257285,beni
1991,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48589.03989848404,beni
1991,"9. Servicios Comunales, Sociales, Personales y Domésticos",20447.304222197025,beni
1991,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",16148.152522265314,beni
1991,PRODUCTO INTERNO BRUTO (a precios básicos),629748.9075312314,beni
1991,PRODUCTO INTERNO BRUTO (a precios de mercado),645897.0600534967,beni
1991,Servicios Bancarios Imputados,-4638.318394494616,beni
1992,- Alimentos,82529.09086308724,beni
1992,- Bebidas y Tabaco,594.4719455435222,beni
1992,- Coca,0.0,beni
1992,- Comunicaciones,5768.162120440304,beni
1992,- Madera y Productos de Madera,3122.6691233093297,beni
1992,- Minerales Metálicos y no Metálicos,10099.325641707652,beni
1992,- Otras Industrias Manufactureras,3228.87435690877,beni
1992,- Petróleo Crudo y Gas Natural,0.0,beni
1992,- Productos Agrícolas Industriales,3691.8176972221677,beni
1992,- Productos Agrícolas no Industriales,39671.937528428265,beni
1992,- Productos Pecuarios,174860.03429696828,beni
1992,- Productos de Minerales no Metálicos,5929.658896979428,beni
1992,- Productos de Refinación del Petróleo,0.0,beni
1992,- Propiedad de Vivienda,36120.58604208722,beni
1992,- Servicios Financieros,2818.2675064160953,beni
1992,- Servicios a las Empresas,7476.933623953253,beni
1992,"- Silvicultura, Caza y Pesca",32301.830176516996,beni
1992,"- Textiles, Prendas de Vestir y Productos del Cuero",9379.003312641096,beni
1992,- Transporte y Almacenamiento,31455.28673595901,beni
1992,"1. Agricultura, Silvicultura, Caza y Pesca",250525.6196991357,beni
1992,10. Restaurantes y Hoteles,23586.300745021643,beni
1992,11. Servicios de la Administración Pública,53858.74442,beni
1992,2. Extracción de Minas y Canteras,10099.325641707652,beni
1992,3. Industrias Manufactureras,104783.76849846939,beni
1992,"4. Electricidad, Gas y Agua",3944.1860111300093,beni
1992,5. Construcción,17523.16035571382,beni
1992,6. Comercio,53700.76014350267,beni
1992,"7. Transporte, Almacenamiento y Comunicaciones",37223.448856399315,beni
1992,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46415.78717245657,beni
1992,"9. Servicios Comunales, Sociales, Personales y Domésticos",21586.274200526277,beni
1992,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",11148.596786463053,beni
