year,department,isic_section,sector_label,value,base_year
1990,beni,,- Servicios Financieros,5403.0136383590325,1990
1990,beni,,- Servicios a las Empresas,7755.294961522399,1990
1990,beni,,"- Silvicultura, Caza y Pesca",35198.93780420783,1990
1990,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",7959.3000139862,1990
1990,beni,,- Transporte y Almacenamiento,30536.605118751624,1990
1990,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",243961.67051728023,1990
1990,beni,,10. Restaurantes y Hoteles,22426.61895840219,1990
1990,beni,,11. Servicios de la Administración Pública,58584.97422,1990
1990,beni,,2. Extracción de Minas y Canteras,21672.613014895687,1990
1990,beni,,3. Industrias Manufactureras,106368.93451367818,1990
1990,beni,,"4. Electricidad, Gas y Agua",5153.771821663976,1990
1990,beni,,5. Construcción,21600.24329750156,1990
1990,beni,,6. Comercio,59030.68374301037,1990
1990,beni,,"7. Transporte, Almacenamiento y Comunicaciones",35484.34691226082,1990
1990,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48306.40784519943,1990
1990,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",19588.47378247647,1990
1990,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",15505.332153843388,1990
1990,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),636961.9675579267,1990
1990,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),652467.29971177,1990
1990,beni,,Servicios Bancarios Imputados,-5216.771068442228,1990
1991,beni,,- Alimentos,85875.47041111004,1990
1991,beni,,- Bebidas y Tabaco,583.4408306187521,1990
1991,beni,,- Coca,0.0,1990
1991,beni,,- Comunicaciones,5567.698007317388,1990
1991,beni,,- Madera y Productos de Madera,3474.3427409201176,1990
1991,beni,,- Minerales Metálicos y no Metálicos,13627.392975476883,1990
1991,beni,,- Otras Industrias Manufactureras,3035.0826480118876,1990
1991,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1991,beni,,- Productos Agrícolas Industriales,3330.479800201292,1990
1991,beni,,- Productos Agrícolas no Industriales,39486.72323822352,1990
1991,beni,,- Productos Pecuarios,171093.9413148587,1990
1991,beni,,- Productos de Minerales no Metálicos,4736.982248192286,1990
1991,beni,,- Productos de Refinación del Petróleo,0.0,1990
1991,beni,,- Propiedad de Vivienda,35627.82644366992,1990
1991,beni,,- Servicios Financieros,4802.546983011065,1990
1991,beni,,- Servicios a las Empresas,8158.666471803063,1990
1991,beni,,"- Silvicultura, Caza y Pesca",34999.72121414579,1990
1991,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",8388.401333375852,1990
1991,beni,,- Transporte y Almacenamiento,32168.59027525546,1990
1991,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",248910.8655674293,1990
1991,beni,,10. Restaurantes y Hoteles,23710.969710737365,1990
1991,beni,,11. Servicios de la Administración Pública,55858.97222,1990
1991,beni,,2. Extracción de Minas y Canteras,13627.392975476883,1990
1991,beni,,3. Industrias Manufactureras,106093.72021222892,1990
1991,beni,,"4. Electricidad, Gas y Agua",3768.0547293684576,1990
1991,beni,,5. Construcción,21936.903162044575,1990
1991,beni,,6. Comercio,53707.714945186526,1990
1991,beni,,"7. Transporte, Almacenamiento y Comunicaciones",37736.28828257285,1990
1991,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48589.03989848404,1990
1991,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",20447.304222197025,1990
1991,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",16148.152522265314,1990
1991,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),629748.9075312314,1990
1991,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),645897.0600534967,1990
1991,beni,,Servicios Bancarios Imputados,-4638.318394494616,1990
1992,beni,,- Alimentos,82529.09086308724,1990
1992,beni,,- Bebidas y Tabaco,594.4719455435222,1990
1992,beni,,- Coca,0.0,1990
1992,beni,,- Comunicaciones,5768.162120440304,1990
1992,beni,,- Madera y Productos de Madera,3122.6691233093297,1990
1992,beni,,- Minerales Metálicos y no Metálicos,10099.325641707652,1990
1992,beni,,- Otras Industrias Manufactureras,3228.87435690877,1990
1992,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1992,beni,,- Productos Agrícolas Industriales,3691.817697222168,1990
1992,beni,,- Productos Agrícolas no Industriales,39671.937528428265,1990
1992,beni,,- Productos Pecuarios,174860.03429696828,1990
1992,beni,,- Productos de Minerales no Metálicos,5929.658896979428,1990
1992,beni,,- Productos de Refinación del Petróleo,0.0,1990
1992,beni,,- Propiedad de Vivienda,36120.58604208722,1990
1992,beni,,- Servicios Financieros,2818.2675064160953,1990
1992,beni,,- Servicios a las Empresas,7476.933623953253,1990
1992,beni,,"- Silvicultura, Caza y Pesca",32301.830176516996,1990
1992,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",9379.003312641096,1990
1992,beni,,- Transporte y Almacenamiento,31455.28673595901,1990
1992,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",250525.6196991357,1990
1992,beni,,10. Restaurantes y Hoteles,23586.300745021643,1990
1992,beni,,11. Servicios de la Administración Pública,53858.74442,1990
1992,beni,,2. Extracción de Minas y Canteras,10099.325641707652,1990
1992,beni,,3. Industrias Manufactureras,104783.7684984694,1990
1992,beni,,"4. Electricidad, Gas y Agua",3944.18601113001,1990
1992,beni,,5. Construcción,17523.16035571382,1990
1992,beni,,6. Comercio,53700.76014350267,1990
1992,beni,,"7. Transporte, Almacenamiento y Comunicaciones",37223.448856399315,1990
1992,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46415.78717245657,1990
1992,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",21586.274200526277,1990
1992,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",11148.596786463051,1990
