date,roi,no2,n_valid_days,n_native_pixels
2021-05-01,la_paz_el_alto,1.6597453551247436e-05,437,30
2021-06-01,la_paz_el_alto,1.917233711172164e-05,425,30
2021-07-01,la_paz_el_alto,2.6836879229538898e-05,440,30
2021-08-01,la_paz_el_alto,2.5923240318729647e-05,440,30
2021-09-01,la_paz_el_alto,2.0805913447003145e-05,426,30
2021-10-01,la_paz_el_alto,1.721758252626353e-05,438,30
2021-11-01,la_paz_el_alto,1.4055946963665337e-05,426,30
2021-12-01,la_paz_el_alto,1.08400852994826e-05,438,30
2022-01-01,la_paz_el_alto,8.032614927943418e-06,433,30
2022-02-01,la_paz_el_alto,9.637579608396681e-06,394,30
2022-03-01,la_paz_el_alto,1.1118385141634536e-05,440,30
2022-04-01,la_paz_el_alto,1.8260789080804656e-05,424,30
2022-05-01,la_paz_el_alto,1.793895855115293e-05,426,30
2022-06-01,la_paz_el_alto,2.0009077067646147e-05,426,30
2022-07-01,la_paz_el_alto,3.311843406241306e-05,439,30
2022-08-01,la_paz_el_alto,2.9947625255712592e-05,440,30
2022-09-01,la_paz_el_alto,2.296963496158285e-05,426,30
2022-10-01,la_paz_el_alto,2.1645219769109232e-05,440,30
2022-11-01,la_paz_el_alto,1.3510897545183312e-05,425,30
2022-12-01,la_paz_el_alto,1.1802664412501936e-05,439,30
2023-01-01,la_paz_el_alto,1.1450476196853458e-05,440,30
2023-02-01,la_paz_el_alto,1.0974714524049816e-05,397,30
2023-03-01,la_paz_el_alto,8.210650135911984e-06,440,30
2023-04-01,la_paz_el_alto,1.9987905513531033e-05,426,30
2023-05-01,la_paz_el_alto,2.7226986322069666e-05,401,30
2023-06-01,la_paz_el_alto,2.9943303145528168e-05,392,30
2023-07-01,la_paz_el_alto,3.646144870969624e-05,414,30
2023-08-01,la_paz_el_alto,3.1922948413812895e-05,439,30
2023-09-01,la_paz_el_alto,2.7239369484932797e-05,425,30
2023-10-01,la_paz_el_alto,1.7569257852090653e-05,440,30
2023-11-01,la_paz_el_alto,1.3547709063217628e-05,425,30
2023-12-01,la_paz_el_alto,8.403356497918399e-06,438,30
2024-01-01,la_paz_el_alto,7.678942501751374e-06,432,30
2024-02-01,la_paz_el_alto,6.61374990625109e-06,407,30
2024-03-01,la_paz_el_alto,7.332358025228613e-06,433,30
2024-04-01,la_paz_el_alto,1.2305295241782848e-05,425,30
2024-05-01,la_paz_el_alto,2.2577805369360083e-05,439,30
2024-06-01,la_paz_el_alto,3.212163701614411e-05,426,30
2024-07-01,la_paz_el_alto,2.9733910607021216e-05,438,30
