date,roi,u10,v10,blh
2018-07-01,cochabamba,-0.029755223821339667,-1.1163809091145502,689.5541305142547
2018-08-01,cochabamba,-0.03205692090937331,-1.018771895583828,690.9397375296547
2018-09-01,cochabamba,-0.28158173914239537,-0.9859346535606016,952.2526015037018
2018-10-01,cochabamba,-0.3641647848224117,-0.8108525709415184,766.8668433384121
2018-11-01,cochabamba,-0.4792134982145113,-0.3528459002202308,706.102393025503
2018-12-01,cochabamba,-0.5435103567504339,-0.38097966992288873,652.3103286183941
2019-01-01,cochabamba,-0.4911210363916078,-0.4421827854926625,576.9574978014562
2019-02-01,cochabamba,-0.4605544016193836,0.07492315974878737,499.6671022744702
2019-03-01,cochabamba,-0.3687949236940692,-0.37774913126575566,509.78297671972143
2019-04-01,cochabamba,-0.3083123743237548,-0.5723910506424859,521.3076213417253
2019-05-01,cochabamba,-0.1024924236379096,-1.0588006736205362,561.702308215396
2019-06-01,cochabamba,-0.21311145971569911,-1.0281976511281354,615.0961105586346
2019-07-01,cochabamba,-0.17424483408164787,-1.0179747584404042,691.2505486772945
2019-08-01,cochabamba,-0.38573506145103365,-0.9399232453844955,726.1582408325835
2019-09-01,cochabamba,-0.26529360778296174,-1.2544967538733813,800.5329631386003
2019-10-01,cochabamba,-0.5586582709654078,-0.9998929105662372,884.5634500393691
2019-11-01,cochabamba,-0.593823080463664,-0.14619362142538223,822.2499443972922
2019-12-01,cochabamba,-0.583691924136019,-0.2740348223171226,691.5807488726072
2020-01-01,cochabamba,-0.4437388975629595,-0.08404011532303945,649.1628721546753
2020-02-01,cochabamba,-0.32390966511719055,0.02334141344629338,517.7937075629908
2020-03-01,cochabamba,-0.49854771016861227,0.087646968282812,534.68422934647
2020-04-01,cochabamba,-0.28835198166920395,-0.29141658404073845,593.6747232007731
2020-05-01,cochabamba,-0.2038520625691476,-0.6539172756536876,709.1070265844854
2020-06-01,cochabamba,-0.08799606255755807,-1.1966582460658153,690.8694164016483
2020-07-01,cochabamba,-0.20217715461699443,-1.2231715021964422,675.4801805106757
2020-08-01,cochabamba,-0.36676468451364713,-1.1809937119778975,777.760564194924
2020-09-01,cochabamba,-0.3264631699878966,-1.235518558523548,806.612912482616
2020-10-01,cochabamba,-0.45203273853630854,-0.916157188308511,828.0094006922857
2020-11-01,cochabamba,-0.7118290445094355,-0.7805374800144425,1047.1376007239855
2020-12-01,cochabamba,-0.6317759233403166,-0.26063542567856635,809.1703094961755
2021-01-01,cochabamba,-0.4412843815485233,-0.26480591244185203,590.6637633957788
2021-02-01,cochabamba,-0.5068371151984172,0.02784379756874728,583.9056227119805
2021-03-01,cochabamba,-0.4123310918057379,-0.12315439585440595,554.1820640364242
2021-04-01,cochabamba,-0.25810738436743114,-0.4959148362053931,590.7449331233638
2021-05-01,cochabamba,-0.1291829861395876,-1.0360831748076966,693.7863299784236
2021-06-01,cochabamba,-0.13524512409529177,-0.9555876817765262,638.2449433491493
2021-07-01,cochabamba,-0.23871087350492431,-1.0769549110989025,690.8674099108312
2021-08-01,cochabamba,-0.2844462226386074,-1.1519246540692347,871.5744255025974
2021-09-01,cochabamba,-0.3557426444666542,-1.3463358025396017,823.3416696917949
2021-10-01,cochabamba,-0.4592323107435427,-1.041756260864178,970.4760978658786
2021-11-01,cochabamba,-0.6430850753154057,-0.12296975768860009,791.6002488061396
2021-12-01,cochabamba,-0.32208682099600533,0.34536222979929976,514.9669777435782
2022-01-01,cochabamba,-0.45808638626998555,-0.11192260185021595,630.7505831893201
2022-02-01,cochabamba,-0.5483062389431339,0.02298480785219008,568.75119449955
2022-03-01,cochabamba,-0.35568996340781267,-0.1728568411941563,518.8145010583687
2022-04-01,cochabamba,-0.28198128554524887,-0.9235515825055682,611.699745377945
2022-05-01,cochabamba,-0.20959899602101756,-0.911051531319083,707.0049122116329
2022-06-01,cochabamba,-0.04565237324161036,-1.0396366348241215,662.7177737570557
2022-07-01,cochabamba,-0.16443672813856194,-1.2659983820817708,685.9264852314095
2022-08-01,cochabamba,-0.36158931003709077,-1.0620976428411888,792.0663947459915
2022-09-01,cochabamba,-0.25726560547140204,-1.3289041674198503,839.3457469041435
2022-10-01,cochabamba,-0.43828726617240865,-0.8894308667496319,1051.8954132239855
2022-11-01,cochabamba,-0.7867871880853864,-0.03347608957592809,1145.3204467134326
2022-12-01,cochabamba,-0.6136170402138391,0.10486708721272246,819.8786707373813
2023-01-01,cochabamba,-0.5531958070805156,0.15929590608424593,793.5561117601644
2023-02-01,cochabamba,-0.5104045531558246,0.0021972434457756705,566.9322493787835
2023-03-01,cochabamba,-0.45466269252680663,0.12017301947470256,612.9444583273684
