date,roi,u10,v10,blh
2018-07-01,tarija,0.026661429706904598,-0.6680642141254776,349.63807947495405
2018-08-01,tarija,-0.2502112398270935,-0.2554408078329649,420.3510454963235
2018-09-01,tarija,-0.5844672419214786,-0.2927101101468343,589.8696145450368
2018-10-01,tarija,-1.0522448700017157,0.04700648784637451,447.13473690257354
2018-11-01,tarija,-1.0183459963007633,0.08723775996870078,388.8065275304458
2018-12-01,tarija,-0.6533264088931624,-0.019327194292782734,380.5060604319853
2019-01-01,tarija,-0.5768794749075514,-0.19296609684743665,389.48790426815253
2019-02-01,tarija,-0.5593504008957235,0.18023287939400073,403.31866455078125
2019-03-01,tarija,-0.8159698843863106,-0.1596385814215844,332.67270436006436
2019-04-01,tarija,-0.6133571056544109,-0.14266573446000444,332.4731642779182
2019-05-01,tarija,-0.2762749989827474,-0.43730232942990466,326.8260246725643
2019-06-01,tarija,0.506631261964543,-0.9554456319785922,302.7099178538603
2019-07-01,tarija,0.08037932947898033,-0.6029131825103629,289.23000560087314
2019-08-01,tarija,-0.2245938457654275,-0.41053450070420244,377.9680103975184
2019-09-01,tarija,-0.6294419708267309,-0.4649299666693436,547.1927921070773
2019-10-01,tarija,-0.891377791058744,-0.27228047729968946,522.1426930147059
2019-11-01,tarija,-0.7167700790936627,-0.06290142645582483,523.589901194853
2019-12-01,tarija,-0.7897972818362445,0.1540998176415984,403.3412637149586
2020-01-01,tarija,-0.5823603679369557,0.1914628026305988,403.19489063936123
2020-02-01,tarija,-0.6067803884652698,0.06640124011194627,328.4960398954504
2020-03-01,tarija,-0.43547592750865566,-0.28079124427350743,374.3319666245405
2020-04-01,tarija,-0.604842791657133,-0.3013878708876273,366.7650343951057
2020-05-01,tarija,-0.10373286218570366,-0.3627002790595802,304.2249791762408
2020-06-01,tarija,0.4226840389907456,-0.7171420815678226,295.75782686121323
2020-07-01,tarija,0.11917321385114162,-0.7097398718885493,289.31656422334555
2020-08-01,tarija,-0.1546967023255317,-0.5769817390155063,517.7570118623621
