date,roi,u10,v10,blh
2018-07-01,sucre,-0.18202980723878165,-1.058671208897056,592.1615193684895
2018-08-01,sucre,-0.2684168750964464,-0.9902965046301687,619.1339925130209
2018-09-01,sucre,-0.5280115426335358,-1.2142627540993807,933.2643636067708
2018-10-01,sucre,-0.6472546481818671,-1.32270850108683,606.0136311848959
2018-11-01,sucre,-0.8069416176524139,-1.3173017656515185,555.1693115234375
2018-12-01,sucre,-0.7078355972094756,-1.0711753068654655,518.3943277994791
2019-01-01,sucre,-0.5612261877710878,-0.9518597627811869,519.7727457682291
2019-02-01,sucre,-0.6626179573698814,-0.8104062147145439,486.6316731770833
2019-03-01,sucre,-0.6954976866656567,-1.0883212051529816,442.1891377766927
2019-04-01,sucre,-0.5145196907301457,-0.9681733857721522,425.23866780598956
2019-05-01,sucre,-0.2540816574132348,-0.9139831674383199,468.43372599283856
2019-06-01,sucre,0.12077526404661831,-0.6870802065370163,469.4747721354167
2019-07-01,sucre,-0.15188866502049375,-0.9427610966355625,549.8348999023438
2019-08-01,sucre,-0.42576074816457243,-1.0435615092697073,604.10888671875
2019-09-01,sucre,-0.5911489462506944,-1.5832264941326084,660.5735473632812
2019-10-01,sucre,-0.6948619768183718,-1.4136039565132286,648.2782796223958
2019-11-01,sucre,-0.7144843350977137,-1.0003972395030771,669.8092854817708
2019-12-01,sucre,-0.7895474210081953,-1.1452488039854032,568.2435099283855
2020-01-01,sucre,-0.6884589433001268,-0.7857875769915231,566.5599975585938
2020-02-01,sucre,-0.5654356087880514,-0.7469176070562664,456.13063557942706
2020-03-01,sucre,-0.7154759841970665,-0.7358495644733917,526.5508829752605
2020-04-01,sucre,-0.652986430476829,-1.059480071125399,559.0609741210938
2020-05-01,sucre,-0.3285292214353044,-0.8591841556581172,615.0367838541667
2020-06-01,sucre,-0.035248129229614705,-0.8395903265073105,601.5726114908855
2020-07-01,sucre,-0.1719776948070125,-1.0042655900127702,527.6505839029948
2020-08-01,sucre,-0.5264062672811671,-1.3206082400789658,724.4683837890625
2020-09-01,sucre,-0.6311115753247543,-1.518234649821756,688.6616007486979
2020-10-01,sucre,-0.5486870002947215,-1.116564080792089,693.5111490885417
2020-11-01,sucre,-1.0938908429767773,-1.6101351675779925,866.1159261067709
2020-12-01,sucre,-0.8261909768535691,-1.1491319152560955,606.4228719075521
2021-01-01,sucre,-0.6965116711295949,-0.866142211655915,503.5120442708333
2021-02-01,sucre,-0.869744634628296,-1.0269851464045467,512.9200642903646
2021-03-01,sucre,-0.6823820761845122,-0.9398655255858505,477.3739420572917
2021-04-01,sucre,-0.8558372183468032,-1.1136611041700208,480.86486816406256
2021-05-01,sucre,-0.34205895078800846,-1.0549131606437714,521.1592000325521
2021-06-01,sucre,-0.2288271637930386,-0.9165589782811593,535.6942647298177
2021-07-01,sucre,-0.3404870772484364,-0.9249219611405546,538.4536336263021
2021-08-01,sucre,-0.5608071007200244,-1.2504889897399551,748.4120279947917
