date,roi,u10,v10,blh
2018-07-01,la_paz_el_alto,-0.17444333529011077,-0.7959897330582683,571.4295008794176
2018-08-01,la_paz_el_alto,-0.1859366356388072,-0.6950757294525831,676.4149109206274
2018-09-01,la_paz_el_alto,-0.7190523684568039,-0.7480160118651893,913.0737454878722
2018-10-01,la_paz_el_alto,-0.8610375164914769,-0.7923035258102719,625.237185013856
2018-11-01,la_paz_el_alto,-0.8173120492092278,-0.6447193165007594,627.0285273846532
2018-12-01,la_paz_el_alto,-0.9150151811785779,-0.7223357553854657,664.0948639714906
2019-01-01,la_paz_el_alto,-1.27401152569859,-0.8273258026418121,589.1144413973025
2019-02-01,la_paz_el_alto,-0.9387950203934483,-0.6131258506281738,519.1111608375429
2019-03-01,la_paz_el_alto,-0.9449561769371868,-0.7136928795533346,523.3153328620951
2019-04-01,la_paz_el_alto,-0.38557101289084517,-0.7752399276064329,516.2929614002168
2019-05-01,la_paz_el_alto,0.33963092136853723,-0.7174720202687065,583.6928392979487
2019-06-01,la_paz_el_alto,-0.18900168494288716,-0.6396214467299778,609.2694302703698
2019-07-01,la_paz_el_alto,-0.1521154052624349,-0.6566980839173827,629.0124270454127
2019-08-01,la_paz_el_alto,-0.7839609168103732,-0.6609866224385508,753.7107077393857
2019-09-01,la_paz_el_alto,-1.0503753594841772,-1.0656483833170778,718.4374249043889
2019-10-01,la_paz_el_alto,-1.0695205029352477,-0.8761312001085575,760.676814533653
2019-11-01,la_paz_el_alto,-1.1026030248511036,-0.7332225741192608,672.8990852395901
2019-12-01,la_paz_el_alto,-1.0386861951995117,-0.7567394808342741,626.6930423756544
2020-01-01,la_paz_el_alto,-1.0150275911785813,-0.7335689112200956,596.7670289683716
2020-02-01,la_paz_el_alto,-0.9896470524932778,-0.5883840288848747,514.0771951725346
2020-03-01,la_paz_el_alto,-1.1757301421327337,-0.7882391767924721,518.0465909947899
2020-04-01,la_paz_el_alto,-0.44346941266846746,-0.6466686724067682,569.4821893981614
2020-05-01,la_paz_el_alto,0.06570813952439201,-0.6393908782474997,666.0481799060761
2020-06-01,la_paz_el_alto,0.19647700630557474,-0.6069404413562796,664.8462864740981
2020-07-01,la_paz_el_alto,0.07097340739695675,-0.6686170710779828,649.3851657088514
2020-08-01,la_paz_el_alto,-0.2689276794593658,-0.950135704372163,792.6877800906515
2020-09-01,la_paz_el_alto,-0.9644635262821265,-0.9804760249728539,724.715035483475
2020-10-01,la_paz_el_alto,-1.00383868270307,-1.01558927212652,722.2708452634163
2020-11-01,la_paz_el_alto,-1.3574700630656595,-0.8947287288682048,967.4660952902591
2020-12-01,la_paz_el_alto,-1.1910290125242309,-0.9259593560026373,652.5979686157865
2021-01-01,la_paz_el_alto,-0.9096650323121702,-0.7433683462957583,572.8583807021536
2021-02-01,la_paz_el_alto,-1.0642150384791522,-0.6658709640540774,585.8988538811968
2021-03-01,la_paz_el_alto,-1.081037820241194,-0.7683583525583725,534.3229772757486
2021-04-01,la_paz_el_alto,-0.3495457005288127,-0.6964060644736372,533.6462744268447
2021-05-01,la_paz_el_alto,0.04423707284823391,-0.7351651525588707,590.5232703723208
2021-06-01,la_paz_el_alto,0.17159994879225696,-0.6653313490570989,620.2195482503681
2021-07-01,la_paz_el_alto,-0.26132336373144743,-0.7226407946808145,652.4841835860807
2021-08-01,la_paz_el_alto,-0.2772296761591303,-0.7707036414402608,815.332709986502
2021-09-01,la_paz_el_alto,-0.9795892330664914,-1.0197601768774927,720.86629066667
2021-10-01,la_paz_el_alto,-0.7672449430509973,-0.8874380411940053,828.6642863488322
2021-11-01,la_paz_el_alto,-0.9060028538076087,-0.63667829030009,650.5244421834097
2021-12-01,la_paz_el_alto,-0.633231024243805,-0.40769267183551977,540.2742796892895
2022-01-01,la_paz_el_alto,-1.0587325616576266,-0.7399316578239414,590.1889820997627
2022-02-01,la_paz_el_alto,-1.241682155284562,-0.7057125048106185,527.1591368670239
2022-03-01,la_paz_el_alto,-1.1012773627412888,-0.6960481092341904,485.0958324652068
2022-04-01,la_paz_el_alto,-0.38875008341598954,-0.7522057351479818,570.9674466917028
2022-05-01,la_paz_el_alto,-0.008802582380120173,-0.6414462535576252,730.8735284455785
2022-06-01,la_paz_el_alto,0.09214087825009173,-0.7362833367939117,646.4265149500982
2022-07-01,la_paz_el_alto,-0.3489775755322701,-0.7305699476850968,660.911607352851
2022-08-01,la_paz_el_alto,-0.3135352121371869,-0.7384793107549746,808.9980812272476
2022-09-01,la_paz_el_alto,-0.3166813187736029,-0.9544308366806952,930.126256173818
2022-10-01,la_paz_el_alto,-0.5456109456335574,-0.6581099844213324,1041.1737739602934
2022-11-01,la_paz_el_alto,-1.2149921567305497,-0.7606867585784131,1047.2803343128785
2022-12-01,la_paz_el_alto,-1.0190720690419937,-0.69562365054261,763.2155298362852
2023-01-01,la_paz_el_alto,-1.2047636459279503,-0.80214486406861,659.6357687106308
2023-02-01,la_paz_el_alto,-1.1145440079689741,-0.7284379125181343,585.8896709661833
2023-03-01,la_paz_el_alto,-1.2417104950150537,-0.7130983234375738,574.2748529723801
2023-04-01,la_paz_el_alto,-0.5086356501142855,-0.5995804486844298,630.3633747200691
2023-05-01,la_paz_el_alto,-0.19916651808145575,-0.5963069980524662,605.4234050331315
2023-06-01,la_paz_el_alto,0.06389527797745208,-0.48912495735520556,647.9811361422713
2023-07-01,la_paz_el_alto,-0.039004835899200695,-0.6701721372946011,647.5350990495132
2023-08-01,la_paz_el_alto,-0.2833098423711626,-0.4960644124951884,758.864514096245
2023-09-01,la_paz_el_alto,-0.7397388485205226,-0.9283344497601144,858.0972186183432
