date,city,sol,n_valid_pixels,log_sol,trend_extrap,anomaly,stl_seasonal,stl_sa
2012-04-01,cobija,2002.4627170536085,226,7.6021330605687485,7.754622348366497,-0.1468336730501436,-0.005655614747605218,7.607788675316353
2012-05-01,cobija,2025.8905439547575,168,7.6137646576605205,7.753894828109337,-0.10607325969982018,-0.03405691074899707,7.647821568409517
2012-06-01,cobija,2103.8894089826003,171,7.651543010205529,7.753167307852178,-0.10352945570636418,0.0019051580597156744,7.649637852145814
2012-07-01,cobija,2246.499229397905,166,7.717128385486744,7.752439787595018,-0.1129584196494795,0.07764701754120516,7.639481367945539
2012-08-01,cobija,2306.319742554846,205,7.743408348005786,7.751712267337859,-0.10016714873291832,0.09186322940084524,7.651545118604941
2012-09-01,cobija,2108.57538117942,231,7.653767823640479,7.7509847470807,-0.12732712877030483,0.03011020533008304,7.6236576183103955
2012-10-01,cobija,2077.868561122528,176,7.639097917070832,7.750257226823541,-0.09044620074962317,-0.02071310900308579,7.659811026073918
2012-11-01,cobija,2238.155534206259,175,7.713407383421438,7.749529706566381,-0.09201427988578814,0.0558919567408448,7.657515426680593
2012-12-01,cobija,279.5482998434235,53,5.633175085692127,7.748802186309222,-2.1375163118162073,0.021889211199112153,5.6112858744930145
2013-01-01,cobija,1879.9514746950365,191,7.53900124415845,7.748074666052062,-0.3227206432496619,0.1136472213560494,7.4253540228024
2013-02-01,cobija,1937.3139610003009,154,7.569057736488397,7.747347145794903,-0.0495048822079287,-0.12878452709857688,7.697842263586974
2013-03-01,cobija,1826.4291398693003,154,7.510118049900672,7.746619625537743,-0.04131970288760556,-0.19518187274946497,7.705299922650138
2013-04-01,cobija,2365.6568936122076,171,7.768811018643129,7.745892105280584,0.040032348402875506,-0.01711343504032977,7.785924453683459
2013-05-01,cobija,2208.1664299576487,168,7.699917780442982,7.745164585023424,-0.012102007008131466,-0.033144797572310536,7.733062578015293
2013-06-01,cobija,2227.236832319542,174,7.7085170075031515,7.744437064766266,-0.050602387962462636,0.01468233069934815,7.693834676803803
2013-07-01,cobija,2598.210996721869,185,7.8625784089912365,7.743709544509106,0.03273847791797824,0.0861303865641523,7.776448022427084
2013-08-01,cobija,2552.33349226824,202,7.844763314715447,7.742982024251947,0.014443212068712796,0.08733807839478751,7.7574252363206595
2013-09-01,cobija,2591.5013268979933,233,7.859992649648921,7.742254503994787,0.08631653561970509,0.031421610034429004,7.828571039614492
2013-10-01,cobija,2326.7970380298793,157,7.752247939055686,7.741526983737628,0.020222128630550174,-0.009501173312491402,7.761749112368178
2013-11-01,cobija,2446.046469001958,229,7.8022283140233055,7.740799463480468,0.027727366493238925,0.03370148404959816,7.768526829973707
2013-12-01,cobija,2339.3258576326843,202,7.757618071815635,7.740071943223309,0.014779548939182874,0.0027665796531434112,7.754851492162492
2014-01-01,cobija,2458.6242248995377,153,7.807357214312307,7.739344422966149,-0.010507440329167395,0.07852023167532529,7.728836982636982
2014-02-01,cobija,1368.4174775787874,170,7.2214102252951875,7.738616902708991,-0.41511178353790346,-0.10209489387589937,7.323505119171087
2014-03-01,cobija,2332.370280761628,230,7.754640317353611,7.737889382451831,0.1895061097742312,-0.172755174872451,7.927395492226062
2014-04-01,cobija,2140.5624203780694,159,7.668823886747322,7.737161862194672,-0.04457909971340346,-0.023758875733945924,7.692582762481268
2014-05-01,cobija,2119.84356567679,214,7.65909757516836,7.736434341937512,-0.04959366706726698,-0.027743099701885095,7.686840674870245
2014-06-01,cobija,2490.602724768076,200,7.820280018307198,7.735706821680353,0.05701560545591278,0.027557591170932715,7.792722427136265
2014-07-01,cobija,2389.597957703453,181,7.7788804122411115,7.734979301423193,-0.053097900238442186,0.09699901105636047,7.681881401184751
2014-08-01,cobija,2470.4619948384297,229,7.812160454576474,7.734251781166034,-0.00713867528108203,0.08504734869152224,7.727113105884952
2014-09-01,cobija,2331.5144980641967,229,7.754273334570966,7.733524260908874,-0.01143817986888429,0.03218725353097635,7.72208608103999
2014-10-01,cobija,2295.5302205053176,233,7.738719128710575,7.732796740651715,0.0038208860503896602,0.0021015020084711607,7.736617626702104
2014-11-01,cobija,2614.323635818399,227,7.868760695173301,7.732069220394556,0.12406302192919227,0.012628452849552604,7.856132242323748
2014-12-01,cobija,2231.996432858045,215,7.710651725318045,7.7313417001373965,-0.006008179294421545,-0.014681795524930152,7.725333520842975
2015-01-01,cobija,2452.6423979401297,202,7.804921252114874,7.730614179880237,0.0332655341953938,0.041041538039243645,7.763879714075631
