date,ci,viirs_z,vnf_z,no2_z
2018-07-01,-0.10127946693633724,,,-0.33759822312112414
2018-08-01,0.08584200500931138,,,0.2861400166977046
2018-09-01,0.12426907573730683,,,0.41423025245768946
2018-10-01,-0.04662584931400384,,,-0.15541949771334615
2018-11-01,0.1330903298325554,,,0.44363443277518466
2018-12-01,0.1178843905348148,,,0.3929479684493827
2019-01-01,0.0,,,0.0
2019-02-01,0.0,,,0.0
2019-03-01,0.0,,,0.0
2019-04-01,0.0,,,0.0
2019-05-01,0.0,,,0.0
2019-06-01,0.0,,,0.0
2019-07-01,0.0,,,0.0
2019-08-01,0.0,,,0.0
2019-09-01,0.0,,,0.0
2019-10-01,0.0,,,0.0
2019-11-01,0.0,,,0.0
2019-12-01,0.0,,,0.0
2020-01-01,0.001884903609933345,,,0.00628301203311115
2020-02-01,0.07080385640960883,,,0.2360128546986961
2020-03-01,0.017532963990735045,,,0.05844321330245015
2020-04-01,-0.1574106994028502,,,-0.5247023313428341
2020-05-01,-0.1727469934366748,,,-0.5758233114555826
2020-06-01,-0.15912851424091337,,,-0.5304283808030446
2020-07-01,-0.019100962722024793,,,-0.06366987574008265
2020-08-01,-0.24241730459725502,,,-0.8080576819908502
2020-09-01,-0.013947633399254688,,,-0.04649211133084896
2020-10-01,-0.09011451166987236,,,-0.3003817055662412
2020-11-01,0.11943357193246512,,,0.3981119064415504
2020-12-01,0.20008116556913766,,,0.6669372185637922
2021-01-01,-0.12691118519026884,,,-0.42303728396756285
2021-02-01,0.03954105579787413,,,0.13180351932624712
2021-03-01,-0.02691850105321269,,,-0.0897283368440423
2021-04-01,0.09029097160197248,,,0.3009699053399083
2021-05-01,0.053732620044615355,,,0.1791087334820512
2021-06-01,-0.0338988776190367,,,-0.11299625873012234
2021-07-01,0.00781962329712795,,,0.026065410990426502
2021-08-01,-0.01993059057226636,,,-0.06643530190755453
2021-09-01,-0.11356859277219605,,,-0.3785619759073202
2021-10-01,0.11806126118976622,,,0.39353753729922075
2021-11-01,0.18673723719981977,,,0.6224574573327326
2021-12-01,0.18021538840375304,,,0.6007179613458434
2022-01-01,-0.03432860979856347,,,-0.11442869932854491
2022-02-01,0.08154711102242113,,,0.27182370340807044
2022-03-01,0.04658327373341992,,,0.15527757911139975
2022-04-01,0.08342287539501801,,,0.2780762513167267
2022-05-01,0.08891689174407436,,,0.2963896391469145
2022-06-01,0.04195662033552522,,,0.1398554011184174
2022-07-01,0.13942939038654434,,,0.46476463462181444
2022-08-01,0.0317544303020772,,,0.105848101006924
2022-09-01,0.15065748986455788,,,0.5021916328818596
2022-10-01,0.1767653952361033,,,0.5892179841203443
2022-11-01,0.16552113789818043,,,0.5517371263272681
2022-12-01,0.23068271610917793,,,0.7689423870305931
2023-01-01,-0.04256297651199827,,,-0.1418765883733276
2023-02-01,0.02070454405993143,,,0.0690151468664381
2023-03-01,-0.037376327415137786,,,-0.1245877580504593
2023-04-01,0.11646227850204602,,,0.38820759500682006
2023-05-01,0.15527444733304915,,,0.5175814911101638
2023-06-01,0.1079028691729764,,,0.359676230576588
2023-07-01,0.19514726675717178,,,0.6504908891905726
2023-08-01,0.11113412600037485,,,0.3704470866679162
2023-09-01,0.2041845946792116,,,0.680615315597372
2023-10-01,0.34971878677578194,,,1.1657292892526065
2023-11-01,0.2492789038588691,,,0.8309296795295638
2023-12-01,0.12197699902688508,,,0.4065899967562836
2024-01-01,-0.10122188289627156,,,-0.3374062763209052
2024-02-01,0.007920190598901014,,,0.026400635329670047
2024-03-01,-0.04907689911462598,,,-0.16358966371541994
2024-04-01,-0.01349301398250303,,,-0.0449767132750101
2024-05-01,0.07432009365052993,,,0.2477336455017664
2024-06-01,0.13420492516415675,,,0.4473497505471892
2024-07-01,0.18292071164456838,,,0.6097357054818946
2024-08-01,0.014892127542762573,,,0.04964042514254191
2024-09-01,0.34942983074274864,,,1.164766102475829
2024-10-01,0.26770289754164295,,,0.8923429918054766
2024-11-01,0.14168629558421533,,,0.4722876519473845
2024-12-01,0.14252959240994895,,,0.4750986413664965
2025-01-01,0.016801626594813032,,,0.05600542198271011
2025-02-01,0.0712247613609799,,,0.23741587120326632
2025-03-01,-0.03849980003621176,,,-0.12833266678737254
2025-04-01,0.020923500668670898,,,0.069745002228903
2025-05-01,0.1849576749549947,,,0.6165255831833157
2025-06-01,-0.1359051935434827,,,-0.45301731181160904
2025-07-01,0.075250377690231,,,0.25083459230077004
2025-08-01,-0.030432408227426187,,,-0.1014413607580873
2025-09-01,0.133893834730112,,,0.44631278243370665
2025-10-01,0.11546821617409152,,,0.3848940539136384
2025-11-01,0.07890434036726665,,,0.26301446789088884
2025-12-01,0.1668445305724158,,,0.556148435241386
2026-01-01,-0.05230397051314434,,,-0.1743465683771478
2026-02-01,0.12205035769234909,,,0.4068345256411637
2026-03-01,0.04012024633933764,,,0.1337341544644588
2026-04-01,-0.13544784786455696,,,-0.45149282621518994
