date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2016-11-01,santa_cruz,1.724436036092323e-05,18,OMI
2016-12-01,santa_cruz,1.3950849614405732e-05,20,OMI
2017-01-01,santa_cruz,7.91423341153604e-06,21,OMI
2017-02-01,santa_cruz,8.307878222638884e-06,15,OMI
2017-03-01,santa_cruz,1.2133823761202072e-05,19,OMI
2017-04-01,santa_cruz,,13,OMI
2017-05-01,santa_cruz,,11,OMI
2017-06-01,santa_cruz,1.5246676057500385e-05,21,OMI
2017-07-01,santa_cruz,1.583577996518691e-05,24,OMI
2017-08-01,santa_cruz,2.9354277015354608e-05,21,OMI
2017-09-01,santa_cruz,4.741955925245461e-05,22,OMI
2017-10-01,santa_cruz,2.5436916713709847e-05,24,OMI
2017-11-01,santa_cruz,1.4196774178724843e-05,16,OMI
2017-12-01,santa_cruz,7.8662416622766e-06,19,OMI
2018-01-01,santa_cruz,1.0727109472762719e-05,22,OMI
2018-02-01,santa_cruz,7.63025543931391e-06,16,OMI
2018-03-01,santa_cruz,1.0652481776486673e-05,15,OMI
2018-04-01,santa_cruz,1.0362872152301354e-05,22,OMI
2018-05-01,santa_cruz,1.3300031944861813e-05,20,OMI
2018-06-01,santa_cruz,1.2280502625042992e-05,16,OMI
