date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2013-07-01,cochabamba,1.9088745528195413e-05,24,OMI
2013-08-01,cochabamba,1.4958501964483258e-05,22,OMI
2013-09-01,cochabamba,1.686457197737796e-05,18,OMI
2013-10-01,cochabamba,,11,OMI
2013-11-01,cochabamba,1.760896984359369e-05,15,OMI
2013-12-01,cochabamba,,10,OMI
2014-01-01,cochabamba,,9,OMI
2014-02-01,cochabamba,,9,OMI
2014-03-01,cochabamba,1.5368306328373023e-05,15,OMI
2014-04-01,cochabamba,2.029971098971809e-05,18,OMI
2014-05-01,cochabamba,1.5812816045614397e-05,20,OMI
2014-06-01,cochabamba,1.9350043431627502e-05,22,OMI
2014-07-01,cochabamba,1.954373439820637e-05,22,OMI
2014-08-01,cochabamba,2.9131874117274727e-05,18,OMI
2014-09-01,cochabamba,,11,OMI
2014-10-01,cochabamba,,12,OMI
2014-11-01,cochabamba,,12,OMI
2014-12-01,cochabamba,,12,OMI
2015-01-01,cochabamba,,6,OMI
2015-02-01,cochabamba,,11,OMI
2015-03-01,cochabamba,,13,OMI
2015-04-01,cochabamba,,8,OMI
2015-05-01,cochabamba,1.779476964938446e-05,18,OMI
2015-06-01,cochabamba,1.8856912677382817e-05,21,OMI
2015-07-01,cochabamba,1.7151756057341976e-05,21,OMI
2015-08-01,cochabamba,2.5944313452295408e-05,20,OMI
2015-09-01,cochabamba,1.7676526730049922e-05,17,OMI
2015-10-01,cochabamba,,14,OMI
2015-11-01,cochabamba,,11,OMI
2015-12-01,cochabamba,,11,OMI
2016-01-01,cochabamba,,8,OMI
2016-02-01,cochabamba,,6,OMI
2016-03-01,cochabamba,1.349652578603828e-05,20,OMI
2016-04-01,cochabamba,,14,OMI
2016-05-01,cochabamba,1.894939733002508e-05,21,OMI
2016-06-01,cochabamba,,13,OMI
2016-07-01,cochabamba,2.4282103413084064e-05,22,OMI
2016-08-01,cochabamba,2.264938833355645e-05,23,OMI
2016-09-01,cochabamba,1.758505808594165e-05,16,OMI
2016-10-01,cochabamba,,12,OMI
2016-11-01,cochabamba,,12,OMI
2016-12-01,cochabamba,,14,OMI
2017-01-01,cochabamba,,12,OMI
2017-02-01,cochabamba,,7,OMI
2017-03-01,cochabamba,,6,OMI
2017-04-01,cochabamba,1.4563246031079859e-05,15,OMI
2017-05-01,cochabamba,2.1718942747862812e-05,18,OMI
2017-06-01,cochabamba,2.4236607086493265e-05,22,OMI
2017-07-01,cochabamba,2.5733357206113e-05,24,OMI
2017-08-01,cochabamba,2.7073251456048857e-05,22,OMI
2017-09-01,cochabamba,1.8670323069761792e-05,16,OMI
2017-10-01,cochabamba,1.8005698180344675e-05,19,OMI
2017-11-01,cochabamba,,11,OMI
2017-12-01,cochabamba,,10,OMI
2018-01-01,cochabamba,,3,OMI
2018-02-01,cochabamba,,9,OMI
2018-03-01,cochabamba,1.2306952284744014e-05,15,OMI
2018-04-01,cochabamba,1.9105543940624914e-05,20,OMI
2018-05-01,cochabamba,1.808003618169466e-05,22,OMI
2018-06-01,cochabamba,1.8929276057817215e-05,19,OMI
2004-10-01,la_paz_el_alto,5.989021247434215e-06,26,OMI
2004-11-01,la_paz_el_alto,,12,OMI
2004-12-01,la_paz_el_alto,7.653279507141496e-06,18,OMI
2005-01-01,la_paz_el_alto,,11,OMI
2005-02-01,la_paz_el_alto,,13,OMI
2005-03-01,la_paz_el_alto,8.52145368526646e-06,20,OMI
2005-04-01,la_paz_el_alto,1.1178181498191617e-05,16,OMI
2005-05-01,la_paz_el_alto,1.1166301043037235e-05,29,OMI
2005-06-01,la_paz_el_alto,8.952699260642398e-06,29,OMI
2005-07-01,la_paz_el_alto,8.971078523306824e-06,28,OMI
2005-08-01,la_paz_el_alto,9.895650249840027e-06,30,OMI
2005-09-01,la_paz_el_alto,6.721180034977109e-06,21,OMI
2005-10-01,la_paz_el_alto,7.598484701451018e-06,17,OMI
2005-11-01,la_paz_el_alto,9.004631690939884e-06,16,OMI
2005-12-01,la_paz_el_alto,6.749481610107944e-06,19,OMI
2006-01-01,la_paz_el_alto,,12,OMI
2006-02-01,la_paz_el_alto,9.436518738015373e-06,15,OMI
2006-03-01,la_paz_el_alto,1.3499801550045203e-05,16,OMI
2006-04-01,la_paz_el_alto,1.0715149043122135e-05,25,OMI
2006-05-01,la_paz_el_alto,9.481462038878069e-06,29,OMI
2006-06-01,la_paz_el_alto,9.320629855756451e-06,29,OMI
2006-07-01,la_paz_el_alto,1.0486171692063723e-05,29,OMI
2006-08-01,la_paz_el_alto,9.284708230936167e-06,26,OMI
2006-09-01,la_paz_el_alto,8.456434528258353e-06,24,OMI
2006-10-01,la_paz_el_alto,1.0813771180199324e-05,23,OMI
2006-11-01,la_paz_el_alto,9.067993511738578e-06,22,OMI
2006-12-01,la_paz_el_alto,1.1102441536567296e-05,18,OMI
2007-01-01,la_paz_el_alto,1.1135637262912025e-05,15,OMI
2007-02-01,la_paz_el_alto,,12,OMI
2007-03-01,la_paz_el_alto,8.60900556086238e-06,16,OMI
2007-04-01,la_paz_el_alto,1.2235881364865394e-05,20,OMI
2007-05-01,la_paz_el_alto,1.2336667122876012e-05,25,OMI
2007-06-01,la_paz_el_alto,1.2021853413531931e-05,28,OMI
2007-07-01,la_paz_el_alto,9.606940552646207e-06,25,OMI
2007-08-01,la_paz_el_alto,1.0661574022852729e-05,29,OMI
2007-09-01,la_paz_el_alto,1.0326525374926053e-05,19,OMI
2007-10-01,la_paz_el_alto,9.51133246168101e-06,23,OMI
2007-11-01,la_paz_el_alto,1.2121695725179701e-05,19,OMI
2007-12-01,la_paz_el_alto,8.105669512335477e-06,17,OMI
2008-01-01,la_paz_el_alto,,9,OMI
2008-02-01,la_paz_el_alto,,14,OMI
2008-03-01,la_paz_el_alto,1.1108527698322721e-05,20,OMI
2008-04-01,la_paz_el_alto,1.4793567319739948e-05,21,OMI
2008-05-01,la_paz_el_alto,1.2808858763470183e-05,26,OMI
2008-06-01,la_paz_el_alto,1.3863161490421109e-05,28,OMI
2008-07-01,la_paz_el_alto,1.7858058098430053e-05,29,OMI
2008-08-01,la_paz_el_alto,1.1757021494295328e-05,28,OMI
2008-09-01,la_paz_el_alto,1.0205807434628581e-05,21,OMI
2008-10-01,la_paz_el_alto,1.5862163932841024e-05,20,OMI
2008-11-01,la_paz_el_alto,1.0393407916795144e-05,20,OMI
2008-12-01,la_paz_el_alto,,13,OMI
2009-01-01,la_paz_el_alto,9.587487482084513e-06,17,OMI
2009-02-01,la_paz_el_alto,,12,OMI
